SAMPLE_ID,DM_CBFB,DM_CDH1,DM_CDKN1B,DM_ERBB2,DM_FOXA1,DM_MAP2K4,DM_MAP3K1,DM_NCOR1,DM_PIK3CA,DM_PTEN,DM_RUNX1,DM_SF3B1,DM_GATA3,DM_FAM86B1,CLASS
1,0.30667184,0.183434449,0.786329145,0.378228804,0.087609651,0.364404161,0.830686599,0.312659139,0.1627005,0.585045801,0.403159897,0.230297564,0.362313358,0.171793572,2
2,0.113505764,0.221366705,0.247022502,0.439100514,0.121795783,0.44526416,0.947506651,0.287206132,0.187978171,0.126311643,0.343619419,0.311737498,0.515644034,0.097278888,1
3,0.278163605,0.263833854,0.168432326,0.636083813,0.080526301,0.678416644,0.934960428,0.384500997,0.278635363,0.135527738,0.231004771,0.308057163,0.299055193,0.146775105,1
4,0.085736967,0.097600914,0.186985142,0.573476675,0.03767954,0.504810464,0.954005376,0.074464112,0.126439373,0.097150666,0.191492101,0.300275791,0.193515374,0.219412659,1
5,0.070930984,0.174489437,0.134403101,0.413102775,0.204876642,0.386971213,0.893247117,0,0.236314819,0.228263341,0.380990688,0.444344871,0.635338124,0.2160688,2
6,0.266620789,0.28448756,0.848225216,0.474507974,0.047896323,0.271505899,0.800146106,0.180481362,0.090791201,0.246934513,0.786017363,0.162037392,0.255276826,0.144840799,2
7,0.129669663,0.056820867,0.075883803,0.82991086,0.01186815,0.197444071,0.957878457,0.301075631,0.119807771,0.057014386,0.828155983,0.308566864,0.127139473,0.095352143,2
8,0.307278496,0.171223099,0.653332532,0.427999186,0.028331676,0.208676523,0.988443018,0.347836042,0.093825171,0.071120709,0.451601443,0.099121396,0.122288143,0.104529458,2
9,0.163782169,0.169969692,0.02026661,0.189823964,0.045624901,0.509416792,0.908388517,0.532285809,0.092949397,0.180764216,0.092072428,0.084668959,0.201603632,0.226437955,2
10,0.127141003,0.339983568,0.306686597,0.502104472,0.182994685,0.606859451,0.632054879,0.215613289,0.128819944,0.061807048,0.289892152,0.396005248,0.506034234,0.096212871,2
11,0.126912693,0.373771629,0.365485716,0.134133365,0.574178935,0.622034104,0.871959117,0.242753061,0.095952605,0.330877515,0.243949225,0.166063933,0.891113728,0.0583563,2
12,0.080449864,0.264359509,0.20560038,0.35063951,0.108514505,0.717940619,0.384530966,0.391969746,0.113798131,0.038245989,0.262405082,0.134183603,0.599518112,0.081232449,1
13,0.147221963,0.321113458,0.158643405,0.611305772,0.091886145,0.568493519,0.812588631,0.234665851,0.138743969,0.358346912,0.129766804,0.18606789,0.397287336,0.085549039,2
14,0.1098027,0.164704684,0.450911328,0.620927641,0.143631257,0.43355357,0.726611039,0.144654727,0.0920856,0.217173525,0.087050758,0.102581569,0.557132804,0.058238329,1
15,0.145048912,0.11941922,0.050649842,0.595776322,0.027030289,0.438529165,0.746256995,0.137029131,0.103650372,0.189523903,0.182634683,0.269302784,0.158730567,0.173612246,2
16,0.103816224,0.172926984,0.130878331,0.607989526,0.085730682,0.654221111,0.504387943,0.044165647,0.189419355,0.312909921,0.186860764,0.349468609,0.366960654,0.368466548,2
17,0.05610771,0.177664342,0.189168455,0.2657625,0.078209761,0.369726859,0.372409689,0.205364341,0.196178536,0.236466423,0.087814716,0.12311849,0.328384688,0.168853891,2
18,0.171414959,0.305205225,0.161114521,0.55157042,0.072147545,0.48553702,0.483690938,0.087355443,0.070911422,0.188198308,0.231972434,0.672645346,0.500335548,0.119044001,2
19,0.020464822,0.221178973,0.854838625,0.341738985,0.059119068,0.336826004,0.693656572,0.080555906,0.225549865,0.230382713,0.144768359,0.275568136,0.626846029,0.163288995,2
20,0.234095299,0.075857853,0.236383135,0.082658048,0.031662725,0.187283631,0.862006619,0.276777686,0.104898255,0.189784908,0.100418457,0.244029269,0.602604645,0.135883022,2
21,0.201515483,0.503169496,0.080180316,0.610822188,0.164887014,0.857418659,0.963017541,0.204730163,0.13967439,0.104207765,0.218443252,0.164771684,0.830242902,0.138070987,2
22,0.062206161,0.190898281,0.060108159,0.453903622,0.055146827,0.23966219,0.966212869,0.119850273,0.097148689,0.231117587,0.22226681,0.059760438,0.229074027,0.166206351,1
23,0.1580773,0.328439897,0.017620838,0.216712981,0.135955519,0.884708627,0.974684637,0.164586985,0.090551199,0.175004535,0.412340168,0.101890438,0.841869239,0.134139974,2
24,0.013180225,0.18150027,0.770261274,0.47174254,0.112704583,0.513651139,0.993605479,0.45263532,0.829970817,0.287768083,0.217638679,1,0.668690937,0.636530168,2
25,0.223299671,0.151518917,0.049803068,0.194594238,0.014830036,0.147991069,0.911831203,0.093521981,0.147821256,0.075946715,0.062927036,0.078746172,0.401639921,0.148239379,2
26,0.261805092,0.36452623,0.260843478,0.522015533,0.133640152,0.523282275,0.940675792,0.297689109,0.362081173,0.145626383,0.212348351,0.329626988,0.538378959,0.155319979,2
27,0.191581108,0.600392373,0.146296976,0.429155377,0.220675608,0.902352411,0.965855736,0.120590182,0.123768082,0.139772443,0.28439681,0.145765179,0.919660006,0.082917576,2
28,0.145620645,0.453352231,0.285516394,0.116047796,0.197253907,0.676771001,0.914994672,0.256878001,0.159574012,0.131861383,0.468897682,0.36791647,0.63941475,0.141772073,2
29,0.308023856,0.651083067,0.666168401,0.274228503,0.214454329,0.902378595,0.962281185,0.189112352,0.171232242,0.093665406,0.421261695,0.281795402,0.887354315,0.158503616,2
30,0.1661891,0.34048349,0.067045778,0.266492419,0.136578391,0.629739994,0.915187325,0.140336538,0.137484315,0.311649007,0.376791323,0.235097472,0.341043733,0.132740984,2
31,0.158959423,0.425822985,0.084840162,0.931787497,0.223749001,0.93004941,0.977451858,0.139366544,0.126226407,0.164416349,0.353918276,0.14560546,0.888280003,0.067492412,1
32,0.195055979,0.235344079,0.113369102,0.879467631,0.572497081,0.930770297,0.977003463,0.117596326,0.122054438,0.175990067,0.076540692,0.17714403,0.525224129,0.119577271,2
33,0.121037145,0.302507421,0.144362365,0.210434358,0.128763147,0.605394053,0.874882939,0.250662461,0.215358737,0.092924621,0.165566219,0.289469892,0.445713644,0.137213527,2
34,0.355412618,0.342623815,0.567989561,0.329364987,0.064783394,0.27395054,0.556039526,0.449803313,0.145072923,0.245090724,0.072535368,0.223211054,0.328441645,0.241941073,2
35,0.466395205,0.564445392,0.147125492,0.483896517,0.160907195,0.517894275,0.91987189,0.525641126,0.109844089,0.38506632,0.164324626,0.197395599,0.503534747,0.281316477,1
36,0.317998685,0.201979357,0.057442903,0.260150717,0.045886852,0.292918526,0.840240668,0.311261934,0.151076378,0.122924701,0.099771813,0.132076537,0.1874774,0.301453825,2
37,0.051535859,0.219632445,0.386797461,0.86156905,0.797683664,0.897532996,0.860744913,0.331871639,0.180706556,0.169221544,0.139981183,0.105106594,0.982559077,0.075841071,2
38,0.161204445,0.108505027,0.054375548,0.902904625,0.639363638,0.934903072,0.869463534,0.265017344,0.152825429,0.295926459,0.26761472,0.532571149,0.947508971,0.117210936,2
39,0.354232641,0.119858887,0.490842951,0.335031129,0.032434953,0.031658058,0.970670556,0.205815566,0.11336438,0.25078997,0.445833217,0.055533479,0.178958845,0.183290887,2
40,0.240789066,0.077551576,0.102560918,0.345214042,0.035819837,0.193796417,0.409784989,0.281212667,0.20740267,0.023313917,0.129804415,0.390280408,0.149569668,0.208052578,2
41,0.105060037,0.048401365,0.062649468,0.213325785,0.033358366,0.033621235,0.963968249,0.090768845,0.173410917,0.060215971,0.102989303,0.219662844,0.068891218,0.12740071,2
42,0.068082777,0.270530094,0.145644001,0.283861907,0.080219108,0.192851098,0.620339156,0.133872187,0.169434194,0.181909879,0.223791174,0.364909459,0.462810089,0.115519946,2
43,0.046436108,0.027305655,0.533403153,0.285220018,0.005605485,0.003747237,0.617996249,0.12392577,0.220557248,0.058219133,0.18708656,0.184476875,0.504527171,0.38571468,2
44,0.104129066,0.148578813,0.230617803,0.641053167,0.172292234,0.618410075,0.698913009,0.24386998,0.176025347,0.099178015,0.322890657,0.244984262,0.279848181,0.108112248,1
45,0.156349705,0.394145615,0.168596855,0.725298821,0.275590007,0.893778307,0.685374143,0.141690862,0.205863665,0.160321067,0.244598557,0.334226732,0.90604718,0.109390475,1
46,0.279698897,0.221724313,0.255707646,0.45916099,0.102245613,0.495439219,0.801459317,0.268690944,0.11692712,0.512682643,0.110373661,0.084338564,0.437414385,0.144959374,2
47,0.4529772,0.452868159,0.064699534,0.63902283,0.157870186,0.773738903,0.685416931,0.300701224,0.23899281,0.289116571,0.231222285,0.178981329,0.509688668,0.136766632,2
48,0.312126527,0.201050294,0.090141955,0.178232357,0.092314802,0.247080795,0.561910941,0.3443933,0.155262195,0.344313515,0.093578697,0.184209356,0.137637042,0.131528787,2
49,0.283839147,0.607806886,0.068578117,0.856531255,0.379102741,0.952207742,0.921921884,0.216194602,0.148171506,0.112117279,0.585527536,0.289263582,0.907646746,0.160747083,2
50,0.109034929,0.419623212,0.451637455,0.456409211,0.119764293,0.342874119,0.71456448,0.211055642,0.120467516,0.189047646,0.080415014,0.26243268,0.472374181,0.101947703,1
51,0.235754179,0.450962553,0.2592757,0.484005338,0.183943864,0.659659284,0.706128493,0.217779988,0.127631732,0.207288429,0.130815757,0.211179932,0.479878473,0.097949102,2
52,0.32962929,0.778437054,0.083736331,0.933603035,0.289424767,0.962769459,0.966190559,0.129898719,0.096245132,0.225760096,0.782810053,0.314758783,0.971695323,0.144025881,1
53,0.194042359,0.476988148,0.255348054,0.920532386,0.685787312,0.949443568,0.977129686,0.299804834,0.111651268,0.127275222,0.194321255,0.429695858,0.953868886,0.077528781,2
54,0.230902848,0.184214289,0.044781954,0.503774059,0.025227114,0.484834675,0.932370654,0.257548534,0.16432785,0.09151363,0.139136389,0.577350058,0.111987942,0.157651287,2
55,0.156613257,0.312676077,0.695782171,0.418222962,0.152185413,0.404332757,0.474378961,0.09426982,0.088527176,0.207204106,0.076968524,0.104072227,0.318369141,0.055698162,1
56,0.281753371,0.284155102,0.088733964,0.234991371,0.042513384,0.463543483,0.915413693,0.231242649,0.241464844,0.234911008,0.34637879,0.153966542,0.386686561,0.07119223,1
57,0.065708234,0.44961679,0.208852698,0.251863121,0.198195999,0.784645796,0.943302438,0.129480841,0.124682525,0.176445103,0.621497929,0.310560296,0.698360351,0.162875603,2
58,0.337743268,0.243050451,0.778113613,0.236778694,0.081196995,0.011414151,0.278411385,0.078086555,0.131409434,0.390859581,0.056255819,0.255389431,0.532060698,0.125402585,2
59,0.370525196,0.302312314,0.037379792,0.373299455,0.071654671,0.259490536,0.849367628,0.191484635,0.140343165,0.18438466,0.115912177,0.071739506,0.262097537,0.120508891,2
60,0.240752241,0.359565007,0.172884752,0.35252521,0.134046525,0.823021118,0.982121693,0.223867695,0.115982658,0.230713043,0.435071908,0.088066265,0.412164706,0.177948159,1
61,0.092498153,0.087250375,0.026112518,0.153345966,0.024958414,0.115549753,0.987530947,0.091508164,0.151137142,0.186182963,0.070163278,0.260180942,0.071520839,0.080853468,2
62,0.100469874,0.251561207,0.167697237,0.068447207,0.05312625,0.284205154,0.804115596,0.326383056,0.131138838,0.285349197,0.231579023,0.352016613,0.477888244,0.191968064,2
63,0.402328099,0.162488641,0.475208139,0.269106747,0.055301495,0.0743047,0.470545146,0.158944789,0.129389939,0.29738146,0.092205943,0.178022072,0.289917134,0.122689143,2
64,1,0.659327532,0.087764692,0.865959735,0.158052947,0.894707478,0.950410899,0.341896154,0.15711259,0.237399617,0.42700756,0.158849469,0.930566463,0.206264173,1
65,0.131360988,0.263307532,0.208326718,0.18561315,0.199466199,0.934598388,0.821781251,0.201960456,0.094481035,0.142032027,0.109442472,0.161684255,0.923453596,0.097503161,2
66,0.202233262,0.323125899,0.156558577,0.263199016,0.196879171,0.77082661,0.929882154,0.198557383,0.147949114,0.15522433,0.185493561,0.23091881,0.529466518,0.118327196,2
67,0.14859573,0.168577227,0.023085457,0.387384033,0.06535153,0.355993559,0.970340777,0.128026601,0.174298366,0.169061684,0.755912004,0.153429758,0.53135806,0.057812874,2
68,0.220687829,0.345384035,0.051848039,0.831778274,0.065681338,0.474030028,0.934477136,0.260309051,0.16977211,0.203607188,0.27622955,0.405732309,0.288495109,0.161684612,1
69,0.104669309,0.760884396,0.058274804,0.799042884,0.267257811,0.964116113,0.971331628,0.171066322,0.13003701,0.220814502,0.315856345,0.26966836,0.987127339,0.268232659,2
70,0.288537901,0.345600228,0.634217947,0.369135653,0.114061519,0.316321507,0.90068356,0.560739301,0.731369501,0.052473377,0.394206838,0.691896621,0.418880225,0.361800177,2
71,0.156989796,0.421697083,0.247098852,0.347206667,0.168157582,0.586555339,0.811402642,0.154852965,0.129340714,0.143361445,0.085695425,0.167214275,0.391866001,0.080875815,1
72,0.400930775,0.138040633,0.054221379,0.375473634,0.040399905,0.322234527,0.967486451,0.367969961,0.360881545,0.252171015,0.863728517,0.500178238,0.672957179,0.133774196,2
73,0.151125882,0.487879256,0.383905814,0.529268861,0.200615014,0.708737827,0.93722152,0.840477192,0.862137109,0.226689218,0.759827835,0.548621798,0.478337149,0.379488969,2
74,0.025682417,0.262128287,0.226409107,0.73040197,0.142971603,0.78873435,0.93530132,0.250664739,0.255454714,0.232163658,0.122286693,0.205072894,0.911808777,0.125003059,2
75,0.119363204,0.390483843,0.530058925,0.485203954,0.141216543,0.786908546,0.918080848,0.093291428,0.180403806,0.321915212,0.373867885,0.202474208,0.423100512,0.112256995,2
76,0.243598031,0.583370023,0.145461223,0.518172393,0.23665118,0.880099164,0.973855989,0.134400289,0.186743692,0.162185792,0.777014383,0.212069808,0.645330501,0.122649172,2
77,0.211093821,0.148402136,0.854465524,0.329385667,0.074331521,0.266526618,0.978349256,0.157782833,0.158204681,0.065533998,0.487025307,0.204547148,0.345075933,0.092445326,2
78,0.207791128,0.246554153,0.050594477,0.157310808,0.071128756,0.616400835,0.955441888,0.362977314,0.093405091,0.369600055,0.355488381,0.168211171,0.208770608,0.105079655,2
79,0.405841441,0.087113708,0.038400623,0.232027591,0.020665149,0.013683261,0.977468937,0.287536783,0.206854348,0.135938716,0.269558779,0.407863037,0.072903277,0.329215618,2
80,0.204108245,0.474059002,0.055518974,0.381539924,0.131361871,0.450229938,0.528289846,0.22781532,0.159191385,0.197695975,0.109141211,0.164678332,0.41427711,0.10596159,2
81,0.1579115,0.172130645,0.897444213,0.228692784,0.117349671,0.219972744,0.821137967,0.114720197,0.100799277,0.215602842,0.076730662,0.103657804,0.539515332,0.057673464,1
82,0.131126844,0.248759628,0.039338283,0.888596844,0.588252559,0.933217973,0.961036228,0.080670786,0.082978167,0.293014312,0.147049774,0.173021106,0.49989041,1,2
83,0.274792304,0.232055255,0.034852583,0.281829984,0.059665712,0.175464942,0.971512838,0.21048484,0.162233334,0.049856608,0.135495302,0.374824804,0.207954668,0.118820274,1
84,0.219489768,0.029552816,0.479445036,0.403012567,0.02331332,0.066135184,0.968438182,0.203299815,0.209674546,0.20700646,0.112273636,0.30485891,0.08056233,0.123692493,2
85,0.255544987,0.497030662,0.114235714,0.484085022,0.176915467,0.674690049,0.923896944,0.352123183,0.129895592,0.354717347,0.363421413,0.357210083,0.562190844,0.217442173,2
86,0.229706057,0.194553789,0.033845741,0.824834552,0.690004669,0.891346279,0.86937624,0.276124964,0.092334248,0.424512802,0.099935204,0.123186455,0.948120211,0.145410945,2
87,0.063085871,0.296318556,0.340707823,0.413978485,0.076018461,0.569656805,0.907092318,0.248950708,0.103032075,0.061773259,0.226841011,0.067399157,0.471659019,0.154975688,2
88,0.210229917,0.503071796,0.132115362,0.668614733,0.177605715,0.879746139,0.948106951,0.307792312,0.088737392,0.186882947,0.723697316,0.132299456,0.532562694,0.035618223,1
89,0.049316178,0.266553991,0.083855329,0.386051848,0.067596624,0.349906201,0.97361786,0.108671224,0.134294675,0.155460562,0.089408094,0.074514715,0.286678766,0.086229072,2
90,0.253494374,0.469242204,0.076314643,0.550014654,0.163575186,0.457578572,0.912818093,0.161602645,0.101957325,0.182092248,0.081279959,0.295841701,0.56886574,0.131096061,2
91,0.092225756,0.139478521,0.104962455,0.406616053,0.038448413,0.484157401,0.973546503,0.200797951,0.084067182,0.306704283,0.772017454,0.036817059,0.219934939,0.058473596,2
92,0.061914316,0.52750796,0.002199415,0.896806805,0.197558517,0.95279828,0.940347502,0.177952842,0.058765255,0.207717968,0.307301615,0.055259454,0.807365463,0.094603371,2
93,0.1702238,0.233636374,0.904930157,0.610722626,0.154326003,0.800430587,0.807463191,0.172950294,0.139730779,0.201090325,0.519327861,0.314421517,0.545523832,0.136590555,2
94,0.097238443,0.698039472,0.052092029,0.844903464,0.393674954,0.956721526,0.947193575,0.210817992,0.124164999,0.128099613,0.815267651,0.226651442,0.837343385,0.171580164,2
95,0.182181612,0.261103562,0.241284574,0.332631887,0.082677859,0.306828762,0.940103502,0.251328766,0.102662638,0.1229118,0.078821708,0.163564997,0.314532597,0.14576908,1
96,0.147929586,0.346388369,0.018098316,0.608692154,0.058386827,0.688527286,0.815557142,0.17225349,0.128477065,0.099692246,0.205095287,0.12750125,0.292225005,0.087641474,2
97,0.251352471,0.274654525,0.087890256,0.375741782,0.064342855,0.349351745,0.782569007,0.218044578,0.111092183,0.043031494,0.27789974,0.227120992,0.317842062,0.050469077,2
98,0.258631019,0.40174042,0.40907691,0.61460555,0.082452003,0.448288685,0.739097513,0.171233315,0.132529498,0.236894918,0.18646807,0.174972183,0.391311352,0.194293229,1
99,0.161136263,0.25580407,0.445192407,0.55697129,0.176559747,0.504042464,0.537195646,0.069803459,0.159333503,0.224644581,0.395303929,0.52289522,0.560567924,0.083897776,1
100,0.107099741,0.078481042,0.396009691,1,0.867527266,0.896698097,0.846191474,0.187908998,0.069040441,0.157562054,0.095585812,0.080459305,0.981629829,0.132000402,2
101,0.2026817,0.389236595,0.049033624,0.212925297,0.087795374,0.626650333,0.321720728,0.290943271,0.132334442,0.186808929,0.301560207,0.237747915,0.3315545,0.214463906,2
102,0,0.249331377,0.257424579,0.365590449,0.16071777,0.261288994,0.990696189,0.454823653,0.704852289,0.129123502,0.506957843,0.661118089,0.263140735,0.456636918,2
103,0.4904064,0.371142548,0.813647246,0.23507765,0.050919179,0.36206895,0.704199459,0.211486716,0.108345542,0.390474226,0.113375934,0.272157138,0.319754533,0.133514011,1
104,0.044328675,0.281465464,0.08943547,0.885327524,0.670565033,0.872960599,0.466897258,0.1385011,0.22491619,0.33658465,0.244282237,0.22915751,0.357830276,0.113665593,2
105,0.279964568,0.438076368,0.082683327,0.464679162,0.087681144,0.631979678,0.857104373,0.24026051,0.211857576,0.26872028,0.349990176,0.345237222,0.436358663,0.137669542,2
106,0.202403842,0.366161008,0.194704549,0.415713725,0.152605492,0.512301191,0.841534007,0.319207546,0.196323679,0.286795787,0.259513418,0.347216446,0.597697115,0.249224716,2
107,0.282140907,0.249942641,0.508467841,0.351301361,0.047232414,0.077641908,0.884569457,0.201969402,0.102589473,0.177995414,0.401591885,0.452917485,0.310002722,0.145401965,2
108,0.197458633,0.47010543,0.265658557,0.650594457,0.213462201,0.682288348,0.982897176,0.170016583,0.128166021,0.140667351,0.261774667,0.158519035,0.69073313,0.150534415,2
109,0.17638511,0.372295621,0.105147904,0.991659088,0.914280581,0.838156612,0.970294656,0.650988013,0.487091109,0.446159472,0.713466988,0.997956462,1,0.245117742,2
110,0.386268798,0.536197998,0.279832597,0.669956702,0.168764968,0.555594846,0.880468314,0.616082492,0.427927338,0.483578132,0.567636087,0.846383919,0.745811976,0.467477584,2
111,0.242090122,0.818571042,0.236090478,0.357487122,0.20121824,0.782917464,0.991252145,0.615299701,0.548878546,0.167220193,0.709584279,0.627068178,0.450951249,0.339952226,1
112,0.474435098,0.172908561,0.234112263,0.710018411,0.75750046,0.884576402,0.831111619,0.563872252,0.166640154,0.471657192,0.06962676,0.308170325,0.93044796,0.581853025,2
113,0.131638494,0.039627135,0.035115838,0.960306717,0.954227106,0.977094996,0.967892924,0.195579875,0.109765098,0.858930007,0.642026547,0.425296037,0.842333588,0.333882444,2
114,0.262604885,0.132182641,0.436519594,0.343648497,0.057081483,0.324357094,0.97737299,0.186074455,0.094770655,0.262678004,0.070117977,0.31018341,0.458187267,0.184903645,1
